mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
83,2.0616701789183018e+00,2.0616701789183018e+00,2.9156419281664281e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4216629349977241e-01,5.4599922760857100e-01,2.3151292240549885e-03,2.0185859768950612e-03,10,1152
84,2.0862138715244720e+00,2.0862138715244720e+00,2.9503519511207901e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3188373002030231e-01,5.3664221771237131e-01,2.2140890338053680e-03,2.6153651288766270e-03,10,1152
85,2.1107575641306422e+00,2.1107575641306422e+00,2.9850619740751521e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3673915112307158e-01,5.3434483648174047e-01,2.2126046880275589e-03,1.7913995008186224e-03,10,1152
86,2.1353012567368124e+00,2.1353012567368124e+00,3.0197719970295140e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2385992434811390e-01,5.2336164167396793e-01,2.1522893820804341e-03,7.2037805354359852e-04,10,1152
87,2.1598449493429825e+00,2.1598449493429825e+00,3.0544820199838765e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3152644022819140e-01,5.3403343418149918e-01,2.2270019241142852e-03,2.3491140721313732e-03,10,1152
88,2.1843886419491532e+00,2.1843886419491532e+00,3.0891920429382389e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4656137817519701e-01,5.4314090959845074e-01,2.3151906228904063e-03,3.0354239459140443e-03,10,1152
89,2.2089323345553233e+00,2.2089323345553233e+00,3.1239020658926013e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3461547314810476e-01,5.3691271845949951e-01,2.2559890071565196e-03,3.1189787997774354e-03,10,1152
90,2.2334760271614935e+00,2.2334760271614935e+00,3.1586120888469633e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3477938350965870e-01,5.3619464251624804e-01,2.2261613095925304e-03,1.2572824233539521e-03,10,1152
91,2.2580197197676637e+00,2.2580197197676637e+00,3.1933221118013253e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2733400240342854e-01,5.2375351005212767e-01,2.1233815848585198e-03,2.9074532810977743e-03,10,1152
92,2.2825634123738339e+00,2.2825634123738339e+00,3.2280321347556877e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4476495297223082e-01,5.4209312029799717e-01,2.1745992894987983e-03,2.5474115375485702e-03,10,1152
93,2.3071071049800045e+00,2.3071071049800045e+00,3.2627421577100502e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3425894081929437e-01,5.3145612623205607e-01,2.2905228640208025e-03,2.1037403879475532e-03,10,1152
94,2.3316507975861747e+00,2.3316507975861747e+00,3.2974521806644126e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3085039127305056e-01,5.2982326950294756e-01,2.2374685906162020e-03,1.3391808323320921e-03,10,1152
95,2.3561944901923448e+00,2.3561944901923448e+00,3.3321622036187746e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3854792739103230e-01,5.3463674377089943e-01,2.2144776852260689e-03,3.2002082909373042e-03,10,1152
96,2.3807381827985150e+00,2.3807381827985150e+00,3.3668722265731366e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2474675135128057e-01,5.2830386753930847e-01,2.2439911741961452e-03,2.5904260521207498e-03,10,1152
97,2.4052818754046852e+00,2.4052818754046852e+00,3.4015822495274990e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2243950004096629e-01,5.2318487055290408e-01,2.1748904362659340e-03,1.6643067847073843e-03,10,1152
98,2.4298255680108558e+00,2.4298255680108558e+00,3.4362922724818614e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2294290658422538e-01,5.2646280723806294e-01,2.1877622295079077e-03,1.8444465512202192e-03,10,1152
99,2.4543692606170260e+00,2.4543692606170260e+00,3.4710022954362239e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2432872238312045e-01,5.2262931879394325e-01,2.1667571690506269e-03,9.2091842548400660e-04,10,1152
100,2.4789129532231962e+00,2.4789129532231962e+00,3.5057123183905858e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4032314871063547e-01,5.3706954956626840e-01,2.2918230394845919e-03,2.3870903792357445e-03,10,1152
101,2.5034566458293663e+00,2.5034566458293663e+00,3.5404223413449478e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2519999030636422e-01,5.2592296818345907e-01,2.1780369986877770e-03,1.4613907437880573e-03,10,1152
102,2.5280003384355365e+00,2.5280003384355365e+00,3.5751323642993098e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3186604957960026e-01,5.3098387260388435e-01,2.1319743770481831e-03,1.9096221740030378e-03,10,1152
103,2.5525440310417071e+00,2.5525440310417071e+00,3.6098423872536727e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2504252230158088e-01,5.2664297401947291e-01,2.1777344005812606e-03,1.8216040815548001e-03,10,1152
104,2.5770877236478773e+00,2.5770877236478773e+00,3.6445524102080347e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2296501350291491e-01,5.2350759437384720e-01,2.1295052636898610e-03,2.3512913127539535e-03,10,1152
