k,S_mean,S_std,S_sem,count,Ls,FNS_eta0_fit_kmax1p0,ratio_S_to_FNS
4.3734628922496412e+00,2.7520051457750838e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.7683342280063705e-01,9.9410147731943255e-01
4.4428829381583661e+00,2.8340356266162597e-01,5.1522874006153189e-03,2.9746745176875717e-03,3,32;64;128,2.7598331212016869e-01,1.0268865913828382e+00
4.5123029840670910e+00,2.7441289594245133e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.7514381618115213e-01,9.9734349748852946e-01
4.5817230299758149e+00,2.8532469578230224e-01,1.0479575157978107e-03,7.4101786581604035e-04,2,64;128,2.7431462688275987e-01,1.0401366453719874e+00
4.6511430758845398e+00,2.8427388125336372e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.7349544955089233e-01,1.0394099123775942e+00
4.7205631217932638e+00,2.8508337818383900e-01,4.7639618676807473e-03,2.7504746667145921e-03,3,32;64;128,2.7268600216132383e-01,1.0454639252629505e+00
4.7899831677019886e+00,2.8547893776500088e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.7188601461852968e-01,1.0499949332279661e+00
4.8594032136107126e+00,2.8572506858845614e-01,1.2902222736573736e-04,9.1232491894105427e-05,2,64;128,2.7109522808545733e-01,1.0539656880215797e+00
4.9288232595194374e+00,2.9386707622835684e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.7031339435996848e-01,1.0871347197727930e+00
4.9982433054281614e+00,2.9031316592061684e-01,9.6783205034944014e-03,5.5877809479959670e-03,3,32;64;128,2.6954027529409313e-01,1.0770678541596745e+00
5.0676633513368863e+00,2.9745861720421640e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.6877564225260303e-01,1.1067171664486481e+00
5.1370833972456111e+00,2.8955026975938258e-01,4.4090329495484037e-04,3.1176570971006012e-04,2,64;128,2.6801927560774325e-01,1.0803337524990211e+00
5.2065034431543351e+00,2.8740860342089036e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.6727096426725133e-01,1.0753454053972840e+00
5.2759234890630600e+00,2.9165386786384701e-01,5.6495586637053015e-03,3.2617742152928385e-03,3,32;64;128,2.6653050523305782e-01,1.0942607399060043e+00
5.3453435349717839e+00,2.9523490725790580e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.6579770318829782e-01,1.1107504079851056e+00
5.4147635808805088e+00,2.9158101314010421e-01,9.3842785515649535e-04,6.6356870003550505e-04,2,64;128,2.6507237011047324e-01,1.1000053042819327e+00
5.4841836267892328e+00,2.8720644797122574e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.6435432490879790e-01,1.0864450508623675e+00
5.5536036726979576e+00,2.9172081544782691e-01,4.8756988238804972e-03,2.8149860284549470e-03,3,32;64;128,2.6364339308392570e-01,1.1064977279933705e+00
5.6230237186066825e+00,2.8852702188267099e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.6293940640842056e-01,1.0973137340794992e+00
5.6924437645154065e+00,2.9395699602252590e-01,9.2357637574731841e-04,6.5306711823462360e-04,2,64;128,2.6224220262646197e-01,1.1209370310286728e+00
5.7618638104241313e+00,2.8985022118956666e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.6155162517140956e-01,1.1081950685628943e+00
5.8312838563328553e+00,2.9087806350831596e-01,7.1692166341067506e-04,4.1391491535802753e-04,3,32;64;128,2.6086752289996201e-01,1.1150413063103393e+00
5.9007039022415801e+00,2.9353365100618284e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.6018974984174997e-01,1.1281522472914978e+00
5.9701239481503041e+00,2.8871933209939760e-01,8.5256773982311448e-03,6.0285643024981239e-03,2,64;128,2.5951816496329611e-01,1.1125207059792190e+00
6.0395439940590290e+00,2.9408235865527232e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.5885263194536107e-01,1.1360995499452662e+00
6.1089640399677547e+00,2.8660698267676565e-01,4.5685664741532180e-03,2.6376630836630601e-03,3,32;64;128,2.5819301897277097e-01,1.1100493104617644e+00
6.1783840858764778e+00,2.8425025269431226e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.5753919853589380e-01,1.1037164606796572e+00
6.2478041317852027e+00,2.7782656637656056e-01,1.4415217201364052e-03,1.0193097835361487e-03,2,64;128,2.5689104724299444e-01,1.0814957132926595e+00
