nk,k,coord,n_samples,psi[0]_mean,psi[0]_sem,Jpsi[0]_y_mean,Jpsi[0]_y_sem,vx_mean,vx_sem,pi_xy_mean,pi_xy_sem
1,0.0015339807878856412,917.3333333333333,72,0.01667770924813342,6.0447054493020094e-05,-2.885781965184573e-06,5.478786110671611e-08,-5.562950866918866e-05,3.745404593154239e-05,8.355103861477899e-07,4.983352917209168e-07
1,0.0015339807878856412,938.6666666666666,72,0.016758192872458874,6.083528311153473e-05,-2.289476436457218e-06,5.487489899611908e-08,-6.084005095302105e-05,3.6557349217215335e-05,2.9094189748223754e-07,4.642336129084242e-07
1,0.0015339807878856412,960.0,72,0.01682083562101496,6.117719610851139e-05,-1.6904317885402739e-06,5.497879511464692e-08,-5.34101470537181e-05,3.5995889892650485e-05,-1.8494175140607703e-07,5.766171937349739e-07
1,0.0015339807878856412,981.3333333333333,72,0.0168653746132837,6.14800866702413e-05,-1.0893879570755426e-06,5.507329661224155e-08,-4.593682215090427e-05,3.582433002301788e-05,3.6105080849511944e-07,5.754610496805454e-07
1,0.0015339807878856412,1002.6666666666666,72,0.016891673984928,6.175519287158534e-05,-4.871766279899642e-07,5.515753370255147e-08,-3.453454342950124e-05,3.555696182614015e-05,-7.268652841030025e-08,4.59526100216881e-07
1,0.0015339807878856412,1024.0,72,0.01689986605150268,6.200590384677932e-05,1.1574555361300779e-07,5.525932106453294e-08,-8.416584720662055e-06,3.4528316727725914e-05,-5.555308372308854e-07,5.099091067838938e-07
1,0.0015339807878856412,1045.3333333333333,72,0.016890021373631773,6.222104612224022e-05,7.18716636396091e-07,5.5359925652859214e-08,7.420093150453008e-06,3.416975941451426e-05,3.263686843129347e-07,5.173463706582762e-07
1,0.0015339807878856412,1066.6666666666665,72,0.01686214063676631,6.24023045645593e-05,1.320965402094111e-06,5.545030298953293e-08,-2.260873108838906e-06,3.527322840107509e-05,5.158376493873632e-07,4.656535545653448e-07
1,0.0015339807878856412,1088.0,72,0.0168163125596615,6.254978911290973e-05,1.9220620379805012e-06,5.555519715199512e-08,-6.6476505733744284e-06,3.586771969298964e-05,1.395882301968088e-07,4.29497843729013e-07
1,0.0015339807878856412,1109.3333333333333,72,0.016752550408609426,6.26445900274827e-05,2.5213064495391287e-06,5.56604478978527e-08,9.58894387799465e-06,3.667472653776816e-05,6.486642087678986e-07,4.203686766953512e-07
1,0.0015339807878856412,1130.6666666666665,72,0.016670829565468018,6.269335718561268e-05,3.1178343711941517e-06,5.575297471439287e-08,2.037510958989115e-05,3.821050666388888e-05,3.02406096222309e-07,5.584526983205165e-07
1,0.0015339807878856412,1152.0,72,0.016571230257813076,6.271560752850057e-05,3.7112164819946374e-06,5.585640324904018e-08,1.2958141771426552e-05,3.851962178685299e-05,-6.35840547872523e-07,4.4761787844045127e-07
1,0.0015339807878856412,1173.3333333333333,72,0.016453761603594574,6.269223483523522e-05,4.300807564044239e-06,5.596357911188005e-08,4.758147360241077e-06,3.875621189897772e-05,1.475400541655527e-07,5.262113468641826e-07
1,0.0015339807878856412,1194.6666666666665,72,0.016318443391681186,6.261692022146246e-05,4.8857182668383895e-06,5.6053603280724397e-08,6.687061535015489e-06,4.020506911125607e-05,1.0472805546877817e-06,5.132306939737112e-07
1,0.0015339807878856412,1216.0,72,0.01616550817990895,6.252534236707077e-05,5.465538308744265e-06,5.613900237816554e-08,1.1849447319662263e-05,4.097592694786109e-05,7.473157477717538e-07,5.302564706430974e-07
1,0.0015339807878856412,1237.3333333333333,72,0.015995132877409127,6.241970213415671e-05,6.039740972385938e-06,5.623114100341162e-08,1.5992324474781925e-05,4.124812120247179e-05,8.490904461059521e-07,4.94181650485287e-07
1,0.0015339807878856412,1258.6666666666665,72,0.015807436402228238,6.227322243549687e-05,6.607477647508246e-06,5.633036775738792e-08,2.2307933909628374e-05,4.242021226276747e-05,6.385086658104409e-07,4.63611204701158e-07
1,0.0015339807878856412,1280.0,72,0.0156027622659555,6.209054056189166e-05,7.168311849854027e-06,5.643053392221341e-08,2.814985884627414e-05,4.348253164379547e-05,-5.197419957462113e-07,4.4968873991224435e-07
1,0.0015339807878856412,1301.3333333333333,72,0.015381363237096815,6.18743162155853e-05,7.721735606052982e-06,5.6518518599805646e-08,3.066658149030104e-05,4.4228440319551596e-05,-3.3959319948196344e-07,4.6637575762735335e-07
