mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
51,1.2762720155208536e+00,1.2762720155208536e+00,1.8049211936268363e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9259537036031130e-01,2.9179703915549809e-01,1.1962339663331041e-03,4.7788456795322187e-04,10,1152
52,1.3008157081270237e+00,1.3008157081270237e+00,1.8396312165811985e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.8392748716346738e-01,2.8312598452466009e-01,1.1840102472110055e-03,5.3038841247260806e-04,10,1152
53,1.3253594007331939e+00,1.3253594007331939e+00,1.8743412395355605e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9128781788782349e-01,2.9092956953687632e-01,1.2091226004660397e-03,5.0910678278580346e-04,10,1152
54,1.3499030933393643e+00,1.3499030933393643e+00,1.9090512624899230e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7990991466891346e-01,2.7981124414537473e-01,1.1685129494935804e-03,4.3729542527371585e-04,10,1152
55,1.3744467859455345e+00,1.3744467859455345e+00,1.9437612854442852e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9048074299763460e-01,2.9210093577403973e-01,1.2076151737331364e-03,1.0752373437663842e-03,10,1152
56,1.3989904785517047e+00,1.3989904785517047e+00,1.9784713083986474e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7987133407211640e-01,2.7935066309073486e-01,1.1602163922731705e-03,8.0053860050937730e-04,10,1152
57,1.4235341711578751e+00,1.4235341711578751e+00,2.0131813313530098e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7933699684573537e-01,2.7887799967026916e-01,1.1674132014111323e-03,6.2082508919690375e-04,10,1152
58,1.4480778637640452e+00,1.4480778637640452e+00,2.0478913543073718e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.8616658611240792e-01,2.8526714965615518e-01,1.1648978210642895e-03,6.8452784828205418e-04,10,1152
59,1.4726215563702154e+00,1.4726215563702154e+00,2.0826013772617338e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7889778501334217e-01,2.7887357346808361e-01,1.1944134940608314e-03,4.7053492728745471e-04,10,1152
60,1.4971652489763858e+00,1.4971652489763858e+00,2.1173114002160962e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7788044794959599e-01,2.7851357482657513e-01,1.1753860038165192e-03,4.9628885732996104e-04,10,1152
61,1.5217089415825560e+00,1.5217089415825560e+00,2.1520214231704586e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7441095559444428e-01,2.7520713466669511e-01,1.1610229502997064e-03,5.0273236094423087e-04,10,1152
62,1.5462526341887264e+00,1.5462526341887264e+00,2.1867314461248211e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.8389447582900407e-01,2.8141324597744799e-01,1.1501748260894361e-03,1.3865642769316029e-03,10,1152
63,1.5707963267948966e+00,1.5707963267948966e+00,2.2214414690791831e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6842202432633111e-01,2.6835410704552282e-01,1.0970000315952825e-03,7.0202045387333478e-04,10,1152
64,1.5953400194010667e+00,1.5953400194010667e+00,2.2561514920335450e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7143614031353963e-01,2.7181532919950940e-01,1.0971494800134812e-03,3.7967347610196121e-04,10,1152
65,1.6198837120072371e+00,1.6198837120072371e+00,2.2908615149879075e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7377689068226441e-01,2.7508191027124396e-01,1.1509658699571297e-03,7.7553074596594426e-04,10,1152
66,1.6444274046134073e+00,1.6444274046134073e+00,2.3255715379422699e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6858965838159221e-01,2.7041288853460055e-01,1.1268951121002899e-03,1.4789732548647003e-03,10,1152
67,1.6689710972195777e+00,1.6689710972195777e+00,2.3602815608966323e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6925452307331188e-01,2.6975537143132661e-01,1.1161395225326562e-03,1.3325423521446536e-03,10,1152
68,1.6935147898257479e+00,1.6935147898257479e+00,2.3949915838509943e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7507826331202384e-01,2.7376560892009344e-01,1.0922485090607299e-03,7.6622127283516861e-04,10,1152
69,1.7180584824319181e+00,1.7180584824319181e+00,2.4297016068053563e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6849826680208250e-01,2.6922449037513557e-01,1.1169556169289151e-03,1.2484004294382068e-03,10,1152
70,1.7426021750380885e+00,1.7426021750380885e+00,2.4644116297597187e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7134936275547300e-01,2.7249608388421981e-01,1.1560777579552664e-03,5.7127812264605503e-04,10,1152
71,1.7671458676442586e+00,1.7671458676442586e+00,2.4991216527140807e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6206677193868422e-01,2.6406412447545724e-01,1.1430975658462399e-03,1.1603626124439669e-03,10,1152
72,1.7916895602504288e+00,1.7916895602504288e+00,2.5338316756684431e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.7082100550970695e-01,2.7153865798339150e-01,1.1250016152866450e-03,6.0090809447684783e-04,10,1152
73,1.8162332528565992e+00,1.8162332528565992e+00,2.5685416986228056e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6695024191969524e-01,2.6368200320175256e-01,1.0928613072455451e-03,1.6803438400109540e-03,10,1152
74,1.8407769454627694e+00,1.8407769454627694e+00,2.6032517215771676e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6926623569798941e-01,2.6848546602758505e-01,1.0999163390160993e-03,6.7254398374346337e-04,10,1152
75,1.8653206380689396e+00,1.8653206380689396e+00,2.6379617445315295e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6413478770120252e-01,2.6494967695709620e-01,1.1078278252274411e-03,6.4510653443574815e-04,10,1152
76,1.8898643306751099e+00,1.8898643306751099e+00,2.6726717674858920e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.6565139487252482e-01,2.6634067700675546e-01,1.1068027849039370e-03,5.0582693811173686e-04,10,1152
