k,count,transfer_mean,transfer_std,transfer_sem,dissipation_mean,dissipation_std,dissipation_sem,production_mean,production_std,production_sem,total_mean,total_std,total_sem
7.2864087424567951e-03,1.1600000000000000e+02,1.2791802491457508e-14,3.9644751679746116e-15,1.4016536375602624e-15,-7.4969275788475768e-12,4.1488067282271423e-14,1.4668246856808930e-14,7.4841768307292721e-12,4.0708055413736858e-14,1.4392471015985540e-14,4.1054373154121637e-17,3.1291589976823509e-16,1.1063247733360452e-16
7.6699039394282058e-03,1.1200000000000000e+02,1.1942967430369589e-14,2.7868977804622776e-15,9.8531715951930733e-16,-6.6099803781311406e-12,1.8400349444739498e-14,6.5055059342887112e-15,6.5979559836737840e-12,1.7007833676628254e-14,6.0131772630183839e-15,-8.1427026985947041e-17,4.2951537077561220e-16,1.5185661564964481e-16
8.0533991363996166e-03,1.4400000000000000e+02,1.7933828463388326e-14,4.4846579267646386e-15,1.5855660156586395e-15,-7.6993235999920824e-12,3.2970398577965501e-14,1.1656796206451354e-14,7.6812822539382100e-12,3.1580847846170787e-14,1.1165515833823968e-14,-1.0751759048449890e-16,4.2500963944759950e-16,1.5026359906152358e-16
8.4368943333710256e-03,1.4000000000000000e+02,1.6089682462846268e-14,3.3867545495821014e-15,1.1973985541119475e-15,-6.7954184123711347e-12,2.3732434013859936e-14,8.3906825126313178e-15,6.7794189813100249e-12,2.3604289327692371e-14,8.3453765243502632e-15,9.0251401736000422e-17,1.2560521182615626e-16,4.4408148517323908e-17
8.8203895303424363e-03,1.4400000000000000e+02,1.6316180125105729e-14,3.5240738044981060e-15,1.2459482422812431e-15,-6.3856856111122150e-12,2.4430850502582612e-14,8.6376100302654686e-15,6.3694698786702745e-12,2.6727293164086740e-14,9.4495251195432941e-15,1.0044768316507631e-16,1.4996305727516034e-16,5.3019947363366241e-17
9.2038847273138470e-03,1.4400000000000000e+02,1.6399081154183432e-14,3.5577267089056875e-15,1.2578463407378549e-15,-5.8840462376652552e-12,2.0131791828564960e-14,7.1176632597071038e-15,5.8677148071087100e-12,2.0488235435971532e-14,7.2436851056609953e-15,6.7650597638472419e-17,2.2174118992302484e-16,7.8397349531472494e-17
9.5873799242852577e-03,1.6800000000000000e+02,1.9846607119255486e-14,3.8970568436058280e-15,1.3778176603915618e-15,-6.3099300822694591e-12,1.6175102762782680e-14,5.7187624249764464e-15,6.2899976571161002e-12,1.4761186272656187e-14,5.2188674558764836e-15,-8.5818034103616408e-17,1.2660217803322817e-16,4.4760629300141097e-17
9.9708751212566685e-03,1.6400000000000000e+02,1.8650485923949273e-14,2.8830464170302578e-15,1.0193108359788372e-15,-5.6993971114228413e-12,1.1402440309818322e-14,4.0313714325736867e-15,5.6806748196006789e-12,1.0533723748799668e-14,3.7242337469610130e-15,-7.1805898212516748e-17,2.4923476335358698e-16,8.8117795637372882e-17
1.0354370318228077e-02,1.6000000000000000e+02,1.8210853456737069e-14,2.5261749287101052e-15,8.9313771127717919e-16,-5.1686669512790590e-12,1.6939086978359424e-14,5.9888716347533464e-15,5.1504206297968415e-12,1.6291494238838994e-14,5.7599130259723117e-15,-3.5468025480233397e-17,1.8211229561003917e-16,6.4386419581653911e-17
1.0737865515199488e-02,1.8400000000000000e+02,1.9834934255732049e-14,3.6012669022348832e-15,1.2732401237164787e-15,-5.5343871429833776e-12,2.2335004048073511e-14,7.8966164101108838e-15,5.5145002104798376e-12,1.9571648573827661e-14,6.9196227127767799e-15,-5.1998247807631276e-17,9.3172464023361288e-17,3.2941440565389200e-17
1.1121360712170899e-02,1.7200000000000000e+02,1.8391171463364878e-14,2.7646446387410417e-15,9.7744948581241179e-16,-4.8192564545015781e-12,1.3376117253095532e-14,4.7291716078051121e-15,4.8007923558448711e-12,1.1941757453577161e-14,4.2220488373547035e-15,-7.2927193341581561e-17,1.6973925262494303e-16,6.0011888282316841e-17
1.1504855909142308e-02,2.0000000000000000e+02,2.0752146240028609e-14,2.8595940545825388e-15,1.0110191737180237e-15,-5.2472229363598612e-12,1.0480248908743805e-14,3.7053275359478292e-15,5.2265197394954921e-12,1.0957482108527500e-14,3.8740549518350323e-15,4.8949375659668613e-17,9.5568914293484714e-17,3.3788713683779503e-17
1.1888351106113719e-02,1.9200000000000000e+02,1.9338000421860506e-14,2.3305778381826925e-15,8.2398369673103304e-16,-4.7044712444868016e-12,1.2162180573483137e-14,4.2999801787626094e-15,4.6851341125999392e-12,1.1810005353286596e-14,4.1754674355791900e-15,8.6853499816572073e-19,1.0033546918969447e-16,3.5473945328783431e-17
1.2271846303085129e-02,1.8800000000000000e+02,1.8463819013201327e-14,1.9382180460226790e-15,6.8526356188038808e-16,-4.3342174977625526e-12,8.3100986897921313e-15,2.9380635679407299e-15,4.3157515704659744e-12,6.8541644120459125e-15,2.4233130675625848e-15,-2.1082833772640724e-18,1.1508125318237172e-16,4.0687367256350493e-17
1.2655341500056540e-02,2.0800000000000000e+02,1.9926482126178992e-14,2.4322057381961793e-15,8.5991458535967548e-16,-4.5165222638167975e-12,1.0176104517577512e-14,3.5977962552210594e-15,4.4965557316546853e-12,1.0285529596570302e-14,3.6364838629148974e-15,-4.0050035932370800e-17,1.1834105094632467e-16,4.1839879808444434e-17
1.3038836697027951e-02,2.2400000000000000e+02,2.0741890111138295e-14,2.2061291183658403e-15,7.7998442988479258e-16,-4.5800855121839095e-12,7.0499403455734603e-15,2.4925303126578130e-15,4.5593063885236164e-12,7.9677722358138639e-15,2.8170328894469409e-15,-3.7233549154959742e-17,1.4594696270939400e-16,5.1600043512696330e-17
1.3422331893999360e-02,2.2400000000000000e+02,2.0324764135174856e-14,2.2867841056040285e-15,8.0850027409111122e-16,-4.3147528182254849e-12,5.4204027558006920e-15,1.9164017726944596e-15,4.2944241588485111e-12,4.8091352075308172e-15,1.7002860584440075e-15,-3.8952417987535298e-18,1.6823279358665884e-16,5.9479274581541586e-17
1.3805827090970771e-02,2.2800000000000000e+02,2.0306868111254849e-14,2.1372262513759987e-15,7.5562358763893673e-16,-4.1522405529465579e-12,7.2509404918975246e-15,2.5635945959004298e-15,4.1319508860070845e-12,7.3613021756254542e-15,2.6026133433740221e-15,1.7201171781645658e-17,1.4904592234132807e-16,5.2695691197878306e-17
1.4189322287942181e-02,2.2400000000000000e+02,1.9148750535823386e-14,2.0300707545333120e-15,7.1773839840949795e-16,-3.8586679150244314e-12,5.9666889562326071e-15,2.1095431110914796e-15,3.8394762088375463e-12,6.2260611810154965e-15,2.2012450405891909e-15,-4.2955651062628975e-17,1.5212502778925281e-16,5.3784319368986323e-17
1.4572817484913590e-02,2.4800000000000000e+02,2.0768661792799490e-14,2.1686131877668911e-15,7.6672054542027212e-16,-4.0564332415841031e-12,8.9735821055465605e-15,3.1726403791831150e-15,4.0356221918337476e-12,9.3920809640616563e-15,3.3206020695705417e-15,-4.2387957555614948e-17,1.0886195685499406e-16,3.8488513952701828e-17
1.4956312681885001e-02,2.3600000000000000e+02,1.9439290972326622e-14,2.0788134646736006e-15,7.3497154884630217e-16,-3.6643524767850409e-12,1.1183890198418524e-14,3.9541022996737505e-15,3.6448653732348448e-12,1.0146392624747113e-14,3.5872915147699284e-15,-4.7812577868860524e-17,1.0924308810835670e-16,3.8623264199589256e-17
1.5339807878856412e-02,2.6400000000000000e+02,2.0732325158044349e-14,2.1158634389471509e-15,7.4807069287210945e-16,-3.8986184697523142e-12,9.4952515053994992e-15,3.3570783642698797e-15,3.8778678478666413e-12,9.2477795830311466e-15,3.2695838270399129e-15,-1.8296727629433654e-17,1.1977640056977461e-16,4.2347352534501937e-17
1.5723303075827821e-02,2.4800000000000000e+02,1.9053130228563034e-14,1.7648018898037177e-15,6.2395169186552144e-16,-3.4830069247863135e-12,6.1065331869313592e-15,2.1589855130099315e-15,3.4639351841848838e-12,6.2229891805819592e-15,2.2001589244200098e-15,-1.8610372866624735e-17,1.4849617765896397e-16,5.2501327101467857e-17
1.6106798272799233e-02,2.6400000000000000e+02,2.0168864265592626e-14,1.7731130689024043e-15,6.2689013741569009e-16,-3.5359081345522556e-12,3.3518471849833921e-15,1.1850569370013982e-15,3.5157034281415702e-12,3.4411982204937961e-15,1.2166472985591215e-15,-3.5842145093605264e-17,7.1609615004100069e-17,2.5317822183778547e-17
1.6490293469770642e-02,2.7600000000000000e+02,2.0238764642669091e-14,1.7534757508480456e-15,6.1994729703541303e-16,-3.5284577396823258e-12,4.0385620983801036e-15,1.4278473230037719e-15,3.5082485576627666e-12,3.8064888753368683e-15,1.3457970481309270e-15,2.9582623110185390e-17,1.5089651691687452e-16,5.3349975184676275e-17
