k,count,transfer_mean,dissipation_mean,production_mean,total_mean,transfer_sem,dissipation_sem,production_sem,total_sem
1.8024274257656285e-02,3.0400000000000000e+02,2.0237815403834148e-14,-3.2620255613905842e-12,3.2417875426293618e-12,-2.0335738839202842e-19,6.1951686267872081e-16,1.6850416903030421e-15,1.5257949679545440e-15,4.0290124344821984e-17
1.8407769454627694e-02,3.0400000000000000e+02,1.9649948830663692e-14,-3.1238048933789116e-12,3.1041383668188719e-12,-1.6577729375454463e-17,6.0457515857285186e-16,1.2453208990447182e-15,9.5029728892740020e-16,1.9685734857019263e-17
1.8791264651599103e-02,3.1200000000000000e+02,1.9676339252192906e-14,-3.0755067359246978e-12,3.0558035952723308e-12,-2.6801400173753819e-17,6.1864409928159027e-16,8.5903636015080665e-16,1.0068417435810695e-15,5.7594252246675551e-17
1.9174759848570515e-02,3.1600000000000000e+02,1.9501909351342090e-14,-2.9916812517436361e-12,2.9721597912525198e-12,-1.9551139774888960e-17,6.0015551493752339e-16,1.1152435699418545e-15,1.0760073241669017e-15,4.5165005192973800e-17
1.9558255045541924e-02,3.2000000000000000e+02,1.9255852326446023e-14,-2.9092148353185242e-12,2.8899256207966073e-12,-3.3362195470633443e-17,5.4619173065286226e-16,1.2596985537869171e-15,1.0882775524940288e-15,3.1917142697069971e-17
1.9941750242513337e-02,3.4400000000000000e+02,2.0126660710414750e-14,-3.0100932525924547e-12,2.9898508861748784e-12,-1.1570570716110619e-16,5.5446507578674155e-16,1.5557047833234538e-15,1.1362888260010313e-15,3.2119436116788308e-17
2.0325245439484746e-02,3.1600000000000000e+02,1.8124142078951331e-14,-2.6612957847581790e-12,2.6431376124758222e-12,-3.4030203405090730e-17,4.8948479419773708e-16,1.4996875904342697e-15,1.3255173647037417e-15,2.5770026019765869e-17
2.0708740636456155e-02,3.3600000000000000e+02,1.8857049757473685e-14,-2.7291894048623499e-12,2.7103119205339690e-12,-2.0434570907340106e-17,5.3693185550055166e-16,1.2030754818731434e-15,1.0769970173386552e-15,2.4556487157933299e-17
2.1092235833427567e-02,3.5200000000000000e+02,1.9239610581681087e-14,-2.7555626574327056e-12,2.7362978122850073e-12,-2.5234566017305344e-17,5.0927764884681324e-16,9.5842708522100827e-16,8.6897725793586258e-16,2.0669435429087875e-17
2.1475731030398976e-02,3.4000000000000000e+02,1.8116343152332362e-14,-2.5673946439979269e-12,2.5492617446782812e-12,-1.6556167313003596e-17,4.7107766000012443e-16,1.0481869169496823e-15,9.8343405268808095e-16,4.6366664990429199e-17
2.1859226227370385e-02,3.7600000000000000e+02,1.9582007938689675e-14,-2.7417124311748995e-12,2.7221132349883148e-12,-1.7188247894841951e-17,4.9304030025740587e-16,9.8383557102230283e-16,7.4544749501377092e-16,4.0466092761048743e-17
2.2242721424341798e-02,3.3600000000000000e+02,1.7126908638771526e-14,-2.3674360864754795e-12,2.3503190848803100e-12,9.9070436020611053e-18,4.4564648291721640e-16,5.4516523993654848e-16,4.9851727488212935e-16,3.2564183496986236e-17
2.2626216621313207e-02,3.9200000000000000e+02,1.9554926088845017e-14,-2.6705172504880938e-12,2.6510389870768274e-12,7.6662677578650870e-17,5.0476432015683309e-16,8.5699627848223734e-16,4.6708230918309210e-16,2.8753322770773829e-17
2.3009711818284616e-02,3.8000000000000000e+02,1.8521961961760633e-14,-2.5013000448022332e-12,2.4828073543827269e-12,2.9271542253910796e-17,4.7048968531537055e-16,8.0984206114329481e-16,5.0033242957261828e-16,2.4010670705877965e-17
2.3393207015256028e-02,3.6800000000000000e+02,1.7611837507398790e-14,-2.3450054681812313e-12,2.3273731345831824e-12,-2.0496090649781722e-17,4.5540637473484275e-16,1.2271507578390172e-15,8.4760972118478668e-16,2.9552788639918908e-17
2.3776702212227437e-02,4.0000000000000000e+02,1.8757716167305327e-14,-2.4668262815981836e-12,2.4481098206842418e-12,4.1255253363316625e-17,4.5900772349684266e-16,9.3846760432749557e-16,7.2679872273279702e-16,1.3395428081188876e-17
2.4160197409198850e-02,3.6400000000000000e+02,1.6724024152220852e-14,-2.1766247029872723e-12,2.1599405250034150e-12,3.9846168363473289e-17,4.2055285094600878e-16,7.1174018261891060e-16,6.3773498965064259e-16,2.3366004243556273e-17
2.4543692606170259e-02,4.4000000000000000e+02,1.9796231853223689e-14,-2.5473891876261172e-12,2.5275386017314639e-12,-5.4354041430162862e-17,4.3826348495775325e-16,5.6859863797568170e-16,4.1906247045851105e-16,3.6444888333371644e-17
2.4927187803141668e-02,4.0000000000000000e+02,1.7622278592803586e-14,-2.2454672973617008e-12,2.2278424622715181e-12,-2.5564973789658855e-18,4.1157654535928113e-16,7.4712845450016654e-16,6.2447657496697204e-16,3.3356582178819800e-17
