time,E_K_mean,psi2_mean,dissipation_mean,production_mean,length_mean,E_K_sem,psi2_sem,dissipation_sem,production_sem,length_sem
2.1004288000000000e+07,1.3046449520854342e+05,6.6060751500494735e+04,9.0843794906525250e-10,9.2420170619630874e-10,6.1453387352522004e+03,1.5169046558938152e+02,1.6953876836912936e+04,3.7131144174071927e-11,6.0031020120444211e-11,6.2486946723041774e+02
2.1020672000000000e+07,1.3049092216538885e+05,6.6250551933414958e+04,9.1441426562324660e-10,9.3631713245020530e-10,6.1275956779395865e+03,1.3587768824025500e+02,1.7069490329058808e+04,3.9912739262595031e-11,5.9743115945145086e-11,6.1859012125071081e+02
2.1037056000000000e+07,1.3058978688499166e+05,6.6448024047696221e+04,9.1489998937628625e-10,9.3649706171719051e-10,6.1367440259144751e+03,1.8383411659533240e+02,1.7157916400033788e+04,3.6491531339171703e-11,5.4086940379666209e-11,6.3275064991000772e+02
2.1053440000000000e+07,1.3049202356463330e+05,6.6640668262668303e+04,9.1939667784914434e-10,9.4830516003603297e-10,6.1285093323543588e+03,1.4387852726083725e+02,1.7279559994682400e+04,3.6938296502032356e-11,5.8455240452176088e-11,6.3357216427471496e+02
2.1069824000000000e+07,1.3058328100284422e+05,6.6837584791650996e+04,9.2561888445545186e-10,9.4180022192567537e-10,6.1140138503927410e+03,1.6213211657299237e+02,1.7433698130919682e+04,3.5722111576659740e-11,6.0299003045899878e-11,6.4041250699448915e+02
2.1086208000000000e+07,1.3065149372797894e+05,6.6890173945110218e+04,9.2604964980100321e-10,9.2770636272307652e-10,6.1132013010807923e+03,6.6556448978991995e+01,1.7577941072599981e+04,3.3427874142639072e-11,5.5935727728975964e-11,6.5533540618175118e+02
2.1102592000000000e+07,1.3057870387267543e+05,6.6945380045179729e+04,9.2367009858680825e-10,9.2296464491165359e-10,6.1133979010092562e+03,1.2297381772913803e+02,1.7765518786926837e+04,3.5095632505926487e-11,5.8965752907783555e-11,6.5571070693353545e+02
2.1118976000000000e+07,1.3063744123974774e+05,6.6988806942084106e+04,9.2840690561857328e-10,9.2841998693019951e-10,6.0926221056928807e+03,1.6194129587266622e+02,1.7939290458032836e+04,3.3861279084315575e-11,5.8976341339447394e-11,6.6447094011738454e+02
2.1135360000000000e+07,1.3052968048799354e+05,6.7016654835676207e+04,9.3220094420062477e-10,9.3427251877224475e-10,6.0679987303479575e+03,1.6261093376320798e+02,1.8141349963363602e+04,3.7615973622824056e-11,6.3854133122710350e-11,6.5789316138063225e+02
2.1151744000000000e+07,1.3061929872691896e+05,6.7034219078025388e+04,9.2474509951513467e-10,9.2839577166860134e-10,6.0821854203180446e+03,1.1315322843148161e+02,1.8338448792107203e+04,3.9818612685364727e-11,6.4101720081626430e-11,6.6105474599325555e+02
2.1168128000000000e+07,1.3059673616592493e+05,6.7118203771044209e+04,9.2563548631385819e-10,9.3398356879389218e-10,6.0769807444296166e+03,1.1676071397856033e+02,1.8543483214388430e+04,3.9148580007766208e-11,6.5981487351612015e-11,6.7013320445633121e+02
2.1184512000000000e+07,1.3063729468994882e+05,6.7152566304606007e+04,9.2122238312360367e-10,9.2578933006154790e-10,6.0870250811936621e+03,1.0875712904857836e+02,1.8701835961549419e+04,3.9442514481455175e-11,6.4609378674746593e-11,6.7540441907866045e+02
2.1200896000000000e+07,1.3061324746565294e+05,6.7161149445686809e+04,9.2365372431742406e-10,9.1776219008634843e-10,6.0715000604498837e+03,1.7596893863785141e+02,1.8856409127555569e+04,4.0496420481477417e-11,6.0371162390594032e-11,6.7700395880531198e+02
2.1217280000000000e+07,1.3048326065140365e+05,6.7104076203263758e+04,9.1893286757673274e-10,9.1749318362703096e-10,6.0760199241979581e+03,1.3132969325612737e+02,1.8985827303982565e+04,4.2130960748742635e-11,6.1414452375942146e-11,6.7724568579223580e+02
2.1233664000000000e+07,1.3063905063360225e+05,6.7105757442700808e+04,9.1454923643840517e-10,9.1649558111576381e-10,6.0850243951146422e+03,8.6386492456072702e+01,1.9142962301429801e+04,4.1105394522527264e-11,5.9874815246152229e-11,6.8834675669624983e+02
2.1250048000000000e+07,1.3056167973106720e+05,6.7133563667595372e+04,9.1687797166711262e-10,9.1892764268632351e-10,6.0686999729491845e+03,1.0330771826568089e+02,1.9287683533999912e+04,4.3703853874136499e-11,6.5341851876999574e-11,6.8307296773342978e+02
2.1266432000000000e+07,1.3040158518318264e+05,6.7154313418284728e+04,9.1401136371562871e-10,9.1917626636705962e-10,6.0676308067316513e+03,1.0456576368281853e+02,1.9452946464611014e+04,4.4536035398108181e-11,6.6107091708655298e-11,6.8423512273043889e+02
2.1282816000000000e+07,1.3053698067060977e+05,6.7229663817373774e+04,9.1995794705649636e-10,9.1809694681334555e-10,6.0435190925298994e+03,1.0965240297618082e+02,1.9607712923737981e+04,4.4880538385246024e-11,6.3351913780580261e-11,6.8758894870419283e+02
2.1299200000000000e+07,1.3048347439829330e+05,6.7220714857127095e+04,9.2301213207444167e-10,9.2565500507919310e-10,6.0248715352881327e+03,1.4012465059798325e+02,1.9725735186807837e+04,4.5419658322282601e-11,6.0375752562536085e-11,6.9069897508647045e+02
2.1315584000000000e+07,1.3058226280560510e+05,6.7215337377339776e+04,9.2357182138260074e-10,9.1691908420694414e-10,6.0128242259158706e+03,1.3203689953268986e+02,1.9827315916574153e+04,4.9607433981162915e-11,6.4404165134943491e-11,6.8333332838180809e+02
2.1331968000000000e+07,1.3077395871056338e+05,6.7148747217276425e+04,9.2390580829174994e-10,9.1813592098644082e-10,6.0053980399558313e+03,1.1201572271585434e+02,1.9900915533056221e+04,4.7607607221298285e-11,6.4577985811447745e-11,6.9505390737219238e+02
